id,budget,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
120,93000000,The Lord of the Rings: The Fellowship of the Ring,134.981,2001-12-18,871368364,179,8.4,20665,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,79000000,The Lord of the Rings: The Two Towers,126.438,2002-12-18,926287400,179,8.4,17870,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,94000000,The Lord of the Rings: The Return of the King,117.074,2003-12-01,1118888979,201,8.5,19241,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,4000000,The Lord of the Rings,32.033,1978-11-15,30471420,132,6.6,638,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,0,Bez końca,6.336,1985-06-17,0,108,7.4,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,0,Dworzec,0.617,1980-01-01,0,13,5.9,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,Krótki dzień pracy,1.478,1995-11-02,0,73,6.8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,0,Przypadek,7.921,1987-01-10,0,123,7.6,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,26500000,もののけ姫,63.922,1997-07-12,159414369,134,8.3,6174,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,19000000,千と千尋の神隠し,97.853,2001-07-20,274925095,125,8.5,12578,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132,0,Gimme Shelter,8.698,1970-12-06,252570,90,7.4,128,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0,Primary,3.333,1960-01-01,0,60,6.5,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,26000000,"O Brother, Where Art Thou?",21.593,2000-08-30,71868327,107,7.3,3262,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,Dont Look Back,7.925,1967-05-17,0,96,7.5,110,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
136,310607,Freaks,14.23,1932-02-12,0,62,7.8,858,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
137,14600000,Groundhog Day,30.138,1993-02-11,71074049,101,7.6,6242,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
138,355000,Dracula,14.837,1931-02-12,700000,74,7.2,843,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
139,0,Mifunes sidste sang,5.864,1999-03-12,0,98,6.8,47,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
140,5000000,La mala educación,20.34,2004-03-19,40266982,106,7.4,718,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,6000000,Donnie Darko,27.261,2001-10-24,7500000,114,7.8,10233,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
142,14000000,Brokeback Mountain,34.177,2005-09-10,178043761,134,7.8,5611,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
143,1448864,All Quiet on the Western Front,15.989,1930-04-29,3270000,133,7.8,517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
144,2500000,Der Himmel über Berlin,14.601,1987-05-17,3210139,128,7.8,943,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
145,0,Breaking the Waves,13.47,1996-05-13,3803298,159,7.5,717,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
146,17000000,卧虎藏龍,21.72,2000-07-06,213525736,120,7.4,2499,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
147,0,Les Quatre Cents Coups,14.984,1959-06-03,0,99,8.1,1621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,5000000,The Secret Life of Words,10.001,2005-12-15,0,112,7.0,160,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
149,10000000,アキラ,51.317,1988-07-16,553171,124,8.0,3033,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,12000000,48 Hrs.,14.848,1982-12-07,78868508,96,6.7,1103,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
152,35000000,Star Trek: The Motion Picture,22.06,1979-12-07,139000000,132,6.5,1290,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
153,4000000,Lost in Translation,22.432,2003-09-18,119723856,102,7.4,5884,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
154,12000000,Star Trek II: The Wrath of Khan,15.355,1982-06-04,96800000,113,7.5,1470,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
155,185000000,The Dark Knight,171.671,2008-07-14,1004558444,152,8.5,27108,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
156,0,Wilbur begår selvmord,5.597,2002-11-08,0,111,6.4,66,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
157,18000000,Star Trek III: The Search for Spock,11.254,1984-06-01,87000000,105,6.6,1015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
158,0,Knockin' on Heaven's Door,11.114,1997-02-20,0,87,7.6,369,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,Der bewegte Mann,6.724,1994-10-05,0,90,6.2,73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,0,L'arrivée d'un train à La Ciotat,8.103,1896-01-25,0,1,7.2,353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,85000000,Ocean's Eleven,34.545,2001-12-07,450717150,116,7.4,9578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,20000000,Edward Scissorhands,43.754,1990-12-05,53000000,105,7.7,10745,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
163,110000000,Ocean's Twelve,29.23,2004-12-09,362744280,125,6.6,5972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,2500000,Breakfast at Tiffany's,19.73,1961-10-06,9500000,114,7.7,3462,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,40000000,Back to the Future Part II,39.879,1989-11-22,332000000,108,7.7,10481,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
166,0,La Boum,12.738,1980-12-17,0,110,6.5,914,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
167,48000000,K-PAX,15.764,2001-10-22,50315140,120,7.2,1837,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
168,24000000,Star Trek IV: The Voyage Home,18.664,1986-11-26,133000000,119,7.2,1101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,35000000,Predator 2,51.236,1990-11-20,57120318,108,6.2,2303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
170,5000000,28 Days Later,52.558,2002-10-31,85720385,113,7.2,5244,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
171,0,La Boum 2,9.612,1982-12-08,0,109,6.4,516,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
172,30000000,Star Trek V: The Final Frontier,17.421,1989-06-09,70200000,107,5.7,884,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
173,5000000,"20,000 Leagues Under the Sea",16.405,1954-12-23,28200000,127,7.1,614,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
174,27000000,Star Trek VI: The Undiscovered Country,13.883,1991-12-06,96900000,113,7.0,949,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
175,14390509,Le Grand Bleu,14.533,1988-05-10,0,168,7.5,1132,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
176,1200000,Saw,90.544,2004-10-01,103911669,103,7.4,7288,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
177,24000000,The Fisher King,9.948,1991-09-20,41895491,138,7.3,1024,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,28000000,Blown Away,12.88,1994-07-01,30156002,121,6.1,390,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
179,80000000,The Interpreter,15.531,2005-04-08,162944923,128,6.3,1126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,102000000,Minority Report,20.665,2002-06-20,358372926,145,7.3,6979,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
182,32000000,The Good German,10.428,2006-12-08,5914908,108,5.8,239,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
183,6000000,The Wizard,12.892,1989-12-15,14278900,100,6.1,239,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
